Code,Date,Code Client,Nit,Code product,Name,Description,Cost,NitProduc
7,2018-04-02 21:31:52,06-673-4858,45-510-8910,AE08 2812 3518 6395 4264 878,Computers,Beauty,18541,95-655-9762
486,2020-08-12 05:08:12,06-760-5327,61-247-5927,FR70 3558 3160 18QK EJ9L JVWP Z91,Games,Outdoors,26968,75-598-1129
92,2019-07-07 18:16:02,81-425-9373,20-521-8973,NO40 5388 5148 514,Garden,Baby,23453,65-005-7682
56393,2018-03-20 18:32:32,93-226-3178,68-878-2733,FR98 1064 0247 36NM 3GJN JLIT U17,Baby,Sports,19329,63-837-0394
7,2018-07-17 14:04:00,06-001-7645,58-343-1418,SE70 3150 1435 9039 4930 6896,Garden,Industrial,42126,44-814-5033
18699,2018-05-25 06:13:16,76-046-2214,78-922-1021,SA68 56EN LRZB YXNU EFQR K4GX,Automotive,Jewelery,11900,17-581-0388
91882,2018-12-11 04:45:12,96-737-2809,50-628-6908,HU17 1958 5434 3986 0207 6232 1105,Kids,Garden,48981,09-305-1748
616,2020-08-26 11:50:33,12-766-6710,08-843-7558,SE44 2355 7903 7755 2772 9164,Movies,Jewelery,13802,09-496-6841
118,2018-11-19 23:06:09,72-125-9063,29-852-5718,MK33 401K JXTK NQ60 189,Industrial,Garden,6308,53-234-4724
0457,2020-04-02 22:18:39,89-981-4126,98-571-3825,MT67 AGVU 9932 7LQJ VDCC 5KKI CZIC IAB,Garden,Sports,18026,66-220-3935
61987,2019-08-16 12:00:42,15-411-2808,46-510-0233,FR34 7952 4080 85HX MHMY GYEF M63,Grocery,Movies,47798,29-116-5377
7507,2019-01-24 01:15:04,60-566-9733,46-626-7073,AL98 5432 1726 ON5J ZSW9 51Z2 BVJB,Sports,Industrial,25657,05-190-4659
96,2019-07-31 18:02:50,26-093-4464,10-732-8991,BA28 0625 5637 9306 7203,Industrial,Electronics,27787,70-244-5948
3183,2018-12-31 06:29:16,40-076-1387,05-819-2436,GT74 GTQX 2EFU DMJA ATXZ JIAO 8PIL,Grocery,Games,22857,23-160-1523
343,2018-10-23 08:36:22,75-761-5666,68-539-2223,LT27 5697 4161 5620 7592,Sports,Kids,35905,00-286-2170
26,2019-05-06 13:42:55,44-205-3966,82-996-2662,FR67 5058 1145 27XO FSMP CEFD R48,Toys,Home,29326,31-873-5999
90,2018-07-10 09:33:23,26-424-1836,14-111-9480,PS06 SHIW MULH S0NH R3U3 COAL CVGB K,Clothing,Books,16008,52-565-4429
69,2019-10-16 09:42:35,13-964-7418,00-966-7667,GT73 2DGX K9DC 7JXH JRYW T0N0 ULOI,Clothing,Music,38346,97-028-3907
77968,2018-04-26 02:49:33,32-119-2674,13-092-0005,FR88 8389 1500 4108 GM8E ISWN H51,Toys,Grocery,22327,13-236-7904
78549,2018-07-23 11:41:03,74-593-0798,60-778-4710,PT53 4426 3993 9586 7328 2142 4,Sports,Automotive,5884,88-750-1553
99,2020-05-20 12:05:05,18-389-0471,35-811-3417,BE05 3286 5852 3118,Home,Music,30961,33-134-9180
5372,2018-11-16 21:07:24,56-045-1511,14-885-9155,FI21 8659 3308 7425 64,Outdoors,Books,26159,80-899-2954
6801,2018-05-23 14:58:07,15-959-6036,09-917-8360,FR34 2083 8625 26NQ YNKX MSMO U81,Movies,Clothing,36271,59-654-3034
0111,2018-05-13 10:42:14,54-982-8503,34-640-9881,AD66 5297 7096 83SP HLEW U5HT,Sports,Toys,37359,27-010-5409
80,2018-09-20 21:22:28,02-964-7760,28-455-0416,MC18 5773 9622 91YS H4QI QZOO T92,Toys,Movies,33740,99-534-1154
18,2019-02-09 15:22:23,33-067-0183,40-543-8063,FR63 2781 9132 54ON H3HS EV5O E59,Movies,Music,25581,05-436-2668
675,2020-02-11 10:53:42,16-559-1368,75-506-6060,LU35 9235 VGPB 9XDW GFF1,Grocery,Clothing,34455,68-949-1898
46440,2018-09-29 17:29:21,47-831-4004,23-170-8452,FO95 5991 9127 2218 64,Books,Automotive,8440,05-422-2719
6071,2020-08-28 18:15:53,69-014-2709,28-551-5527,AE73 6983 2780 6195 8526 251,Computers,Shoes,37997,18-148-4140
3031,2018-09-28 15:27:07,28-584-5490,39-479-2587,DO68 CZT0 7519 3466 6921 9932 8321,Computers,Movies,8127,54-421-9076
89931,2018-09-13 15:27:09,90-649-7401,89-206-6795,FR46 2405 9991 31NU TWWS JQQS S61,Toys,Baby,32361,58-886-2707
9148,2019-05-02 15:53:58,36-861-0967,45-887-7592,FR16 0570 1535 949B 3VFH FCYQ M21,Grocery,Outdoors,29389,28-784-2110
19,2019-07-29 09:19:40,53-155-5299,19-452-5466,MK72 107Y EQPW HWVR 730,Baby,Games,40465,31-135-7666
39,2018-08-25 06:25:28,60-037-4529,75-761-5176,CH73 4803 7EVY AIPS 6RFP A,Movies,Health,43236,98-768-7565
42,2020-06-27 11:14:27,58-685-8967,62-898-9402,IL63 4453 9525 9675 5836 153,Home,Baby,9355,45-009-0820
862,2020-08-24 20:23:13,75-505-4844,28-139-8486,MT77 EUAS 7919 5VQZ GEIT 7T1F BRV6 RHQ,Electronics,Sports,28569,01-367-5125
2,2018-04-06 04:21:13,27-009-6694,93-725-1682,MC69 2658 6134 884E G3M6 KNAZ Z37,Kids,Grocery,49445,55-772-3628
5,2019-06-10 21:22:21,22-235-4570,08-660-6982,CY63 9000 6495 SQDC YHIQ AKJP J9AK,Industrial,Outdoors,28798,76-553-2949
44,2018-11-30 14:11:46,39-796-2288,55-744-9213,FR04 8573 9026 98IX FZ3T OOXQ E23,Tools,Automotive,16471,42-362-8187
5649,2019-10-17 00:35:01,83-953-2442,11-880-5932,IE96 SKUD 9668 9709 9618 98,Tools,Kids,14344,20-050-6801
5,2019-01-20 07:38:19,70-193-8942,75-842-3356,FI63 8201 4624 8121 38,Sports,Toys,23517,79-404-8985
5625,2018-10-10 18:37:50,35-629-3879,63-463-8592,RS15 2489 8508 6573 1111 91,Games,Sports,48212,73-704-9377
93,2018-03-13 08:12:26,75-727-9294,63-528-0468,BE54 4453 7055 1642,Computers,Music,15291,00-633-5072
12,2019-10-18 18:53:37,36-016-0098,72-926-5318,NO25 9429 2167 087,Games,Grocery,21197,37-263-7649
8204,2018-07-23 01:25:48,85-126-6048,37-158-8226,CH72 7161 0B5A YWUX IUXQ E,Computers,Industrial,16907,30-928-1679
4741,2019-04-10 05:58:46,35-634-1882,35-447-6390,BE27 1707 1630 8666,Clothing,Shoes,17629,45-614-2050
77427,2018-09-06 07:59:20,96-074-6561,32-725-5948,ES40 7108 7557 1596 2246 2817,Electronics,Health,27895,90-675-1470
2,2019-08-13 06:44:02,80-925-5050,65-614-8510,HR72 7093 0297 5027 8179 2,Clothing,Toys,23120,93-125-6845
64622,2019-11-04 06:15:03,53-281-1033,19-931-0007,SE56 0230 0629 8431 4863 2471,Games,Electronics,12510,31-393-2975
5456,2020-04-26 17:26:55,84-025-7428,51-360-7171,FR20 7554 4919 01SJ EMBO GOV0 301,Garden,Health,6801,65-127-4366
2,2018-07-20 04:55:29,81-736-0209,37-744-7895,GB23 LMTF 9298 0219 6484 90,Tools,Kids,31745,84-477-1812
03485,2019-02-28 10:06:57,40-034-2672,86-223-7312,LI73 0512 0XIF NU8J H7AE S,Computers,Garden,40386,09-765-5799
811,2018-04-23 22:15:40,09-105-4176,99-501-8343,TR12 3107 6MXG PA4R 9CDC YTJ3 XG,Computers,Electronics,23125,25-508-0538
0072,2018-12-23 10:31:07,79-749-3304,88-570-6760,CR70 2599 8507 7292 1557 9,Shoes,Movies,18665,26-743-9094
5380,2018-10-24 04:15:01,67-435-7608,02-521-5779,CH39 3640 3SVA ZDIE K7N8 S,Games,Tools,36850,87-415-6882
7,2019-06-22 18:22:28,16-119-2757,84-214-2354,NO50 3185 0120 054,Movies,Garden,14935,80-591-9192
03,2019-03-09 15:14:53,91-173-4924,33-397-0583,RS12 0530 0821 7770 5115 95,Garden,Beauty,34014,31-677-1377
13,2018-12-01 11:11:42,92-853-3681,11-487-5204,SA05 99UH DEV0 HR42 YSLQ KSPA,Baby,Automotive,5025,92-120-0880
1516,2020-02-28 04:52:15,96-760-6526,15-683-2785,VG55 OEWU 5946 6083 5920 0213,Tools,Computers,35733,44-507-6998
01,2018-07-12 08:13:33,45-227-9577,66-039-8852,GB06 HMEJ 6260 7137 7004 43,Shoes,Beauty,47403,66-500-1442
8773,2020-04-19 05:56:07,32-381-2047,44-984-9411,AL54 2822 0342 XPX7 RRBH WOTL DY8G,Grocery,Sports,15716,86-264-6631
77263,2020-04-04 09:36:16,88-718-4823,75-111-4530,BR86 6650 1014 5677 7703 3347 223R T,Beauty,Sports,12209,99-600-4792
0519,2018-08-31 18:30:07,75-327-6993,03-447-6996,EE11 8957 5498 9907 7046,Toys,Books,44959,91-755-4872
9151,2018-10-17 09:03:39,38-322-5963,33-154-9816,FR18 5677 1448 22HP JEGP 9QPP 849,Kids,Automotive,9628,48-139-0770
474,2019-09-09 00:01:34,02-221-5542,54-422-1737,BA30 3183 4391 2381 4106,Books,Home,24234,86-695-1771
1,2020-06-08 10:05:34,54-984-7376,31-295-1786,SM64 V532 6709 9418 YXUP TDB2 WF1,Garden,Sports,9616,95-935-1589
62,2018-07-06 05:58:47,23-098-5002,79-617-1647,MK39 584R JELV VBFB L69,Kids,Tools,8143,43-928-6176
81497,2020-06-12 06:51:28,62-408-4270,74-166-5029,GE85 FH90 0560 7426 4105 21,Computers,Automotive,31572,36-179-2645
3482,2019-06-20 13:33:32,11-427-7727,16-449-8964,FR27 7650 4069 89HF 5X8Y WWNA F08,Home,Industrial,45119,96-195-4545
19,2018-04-04 08:55:15,00-728-4521,81-804-6668,PL16 7383 3020 1065 7803 8353 7594,Health,Tools,9527,10-934-3865
67565,2019-09-05 05:02:36,78-389-9155,00-724-3269,PK63 LQMI G1M0 5YP1 IVT6 UDDI,Books,Jewelery,12182,82-267-2586
7615,2020-04-16 14:26:36,50-227-7401,22-875-0428,FR40 3635 0769 05KO D5I1 IHEZ Y21,Sports,Movies,48420,39-948-2455
515,2018-12-21 22:42:44,01-122-0565,06-387-8113,FR76 7949 7009 263P Y8J6 PY0D F92,Garden,Home,23434,19-219-4299
61225,2020-08-31 14:06:04,88-574-3248,98-878-8301,FR23 7074 5778 18MM JGPW AWRN M32,Electronics,Grocery,19752,01-449-7352
143,2020-03-09 18:31:15,97-839-1210,99-634-5914,FR12 0027 4259 46RO UM87 PGUV 576,Computers,Home,21845,95-241-4295
1,2020-07-20 13:24:18,40-714-5646,84-119-4567,MR82 9970 5067 5237 9837 4669 281,Outdoors,Automotive,30884,44-116-0495
655,2018-08-27 09:10:59,67-542-6050,49-623-6493,FR75 4211 4121 75MV EIDT TTRK E05,Music,Health,20915,77-610-0790
110,2019-06-04 06:34:03,28-481-8065,92-988-9146,FR48 2955 4207 91VO G0TD 4AZQ 895,Garden,Books,12894,58-649-0710
71648,2020-04-11 14:13:08,87-753-4095,73-599-0663,FR84 4446 1800 63BM 9GH7 W1IV K61,Tools,Garden,15176,25-507-5051
587,2019-01-17 09:30:36,03-976-9476,83-652-8587,FR61 7906 9373 44MK UUJQ BOR1 L45,Grocery,Baby,41826,58-336-0411
60,2019-12-23 20:36:48,47-206-8212,98-328-7763,IE70 RLFP 0709 0795 4495 04,Automotive,Automotive,14107,18-098-0652
9,2019-12-24 20:33:41,24-244-0800,18-449-1747,FR71 8554 6026 34JU 7AAQ 1FSZ B12,Outdoors,Home,40469,24-550-1348
92997,2020-06-05 02:10:47,17-291-6259,31-079-4320,VG19 UNAV 6000 5730 9394 8702,Beauty,Automotive,46574,97-210-3598
1,2018-07-12 11:33:43,30-087-2730,29-862-1715,PK88 RURY HVG5 2XIM J7JA YYEG,Automotive,Automotive,8947,70-894-2781
8,2020-02-18 05:25:11,26-356-2560,47-025-1632,FR89 2820 8257 41EN ML5W MUFA B42,Kids,Music,15374,21-019-5556
2028,2020-01-14 01:52:24,29-315-2327,71-636-0441,ME57 3378 8170 1601 3133 69,Beauty,Sports,36107,22-040-1577
434,2019-04-18 10:22:22,96-546-4945,40-685-2768,FR24 2334 4648 21AG E6WX N0WO H35,Automotive,Computers,10653,53-595-0556
507,2019-08-21 04:26:43,43-627-4218,62-217-1907,DO81 EYKS 3382 5566 2298 8723 8927,Music,Grocery,22649,17-550-9192
053,2018-07-06 21:04:29,10-007-1119,14-065-9207,AT63 2198 9265 0497 9389,Home,Industrial,48973,73-282-7649
7463,2019-03-17 15:23:45,38-233-1259,14-950-9648,CH91 6690 9YXE TBR2 KMBT 6,Games,Baby,15355,49-465-8079
9,2020-02-08 09:51:26,86-318-8263,77-599-5618,GE50 ZF32 7530 9662 3740 29,Clothing,Music,35976,63-555-8756
943,2019-04-24 03:17:56,96-865-6018,86-563-4150,EE16 4044 1914 0517 9821,Garden,Beauty,25286,15-889-7917
8190,2019-03-19 02:56:41,89-140-4685,13-144-3274,FR18 1051 2866 26DC POSM MG4P Q53,Tools,Home,9864,27-598-6372
90574,2018-12-01 07:43:02,39-145-6690,95-550-0447,FR57 6673 2128 87Y0 0WTO O2BI 374,Movies,Games,14624,39-262-8909
8004,2019-03-07 03:49:10,48-303-9176,67-150-6032,KZ21 656N ORAC JM8H OONJ,Toys,Automotive,17023,78-245-0089
7,2019-01-23 09:26:03,66-653-5618,37-120-4056,FR58 6840 5006 20S7 HELP KQD5 Y66,Shoes,Movies,37920,40-788-1780
60486,2020-01-15 18:24:09,40-839-9268,67-941-2858,MD49 PT7G HIRT K7WD G55V VBBN,Computers,Music,44104,18-789-5109
5571,2020-01-31 12:51:50,51-692-6760,56-147-6052,PL90 9031 5772 1010 1640 4600 1095,Tools,Tools,42585,79-201-4422
90887,2019-07-23 01:37:21,79-257-0989,63-526-4970,FO78 7448 1039 4770 17,Grocery,Industrial,43414,16-916-8262
8,2019-01-16 19:57:10,95-229-9147,77-145-7534,RS74 8946 1804 0201 2740 74,Baby,Sports,48130,56-614-0217
8,2020-08-26 21:54:48,12-872-8429,52-176-5569,BH30 LSFZ P4EJ YZN6 EPW3 5D,Computers,Shoes,26209,78-027-0216
78983,2018-11-12 01:59:45,49-178-7089,08-680-5657,FR47 1635 2968 62ET SQZI TGA1 358,Books,Games,12493,61-090-9154
680,2020-03-09 07:10:32,57-933-2021,19-426-2376,FR14 7564 7444 150P AF3T WIRH G25,Automotive,Beauty,41720,85-297-2763
7998,2020-08-26 04:19:15,64-793-9559,84-689-2804,FR37 8329 6053 12QX TS95 AYOV T88,Outdoors,Baby,45285,29-714-3861
28,2018-04-16 06:14:07,65-334-6593,41-095-3947,AT75 8059 1639 0704 7016,Kids,Games,42508,65-579-8192
72,2018-12-17 21:39:39,67-311-1800,95-876-6394,DK74 8815 8331 9176 91,Grocery,Electronics,27313,46-430-4933
68710,2018-12-15 08:47:09,47-172-8721,64-993-7194,IL92 4834 8979 8163 3961 111,Computers,Beauty,25507,96-933-1301
30,2020-03-21 03:28:59,42-285-1322,19-788-5635,BE57 2706 7555 1534,Jewelery,Books,21807,13-027-5516
7613,2018-04-05 06:31:08,96-876-7745,45-915-9377,SA18 73N6 4DRX 0AK2 TYHC DBOW,Outdoors,Electronics,30932,04-093-1501
36,2019-08-27 04:59:18,55-026-8423,06-128-8104,RS58 1231 3791 8222 7429 71,Garden,Home,31905,35-661-2744
020,2019-06-24 04:10:34,59-235-5038,55-257-4887,SI20 0725 5968 4987 484,Beauty,Electronics,7345,25-257-7623
0,2020-03-20 11:16:21,58-645-6681,16-183-3038,BR43 2982 8627 8040 4245 8670 784L J,Books,Games,39464,70-212-0534
55574,2019-11-15 03:28:41,91-893-4866,27-914-8938,GE32 BT35 9015 3896 3170 50,Shoes,Kids,15398,14-832-7585
30,2020-05-07 19:54:31,18-777-9295,17-191-3863,SA54 285T GXBB NHHR LQLA FJHZ,Books,Jewelery,48842,37-975-5285
4298,2019-08-28 19:49:55,02-324-0719,14-470-5784,SE51 9757 1628 1789 5149 6005,Garden,Games,49343,57-504-4791
3460,2018-09-13 10:04:23,38-390-9767,77-642-4249,IE52 RJTC 5401 1941 1759 79,Movies,Clothing,14236,20-985-6299
58500,2019-10-12 04:06:27,30-749-8470,76-324-4029,TN40 9012 9411 9367 2053 9490,Toys,Electronics,28052,39-721-3886
76629,2020-03-20 05:24:38,81-905-0242,43-748-3533,RS29 4715 9599 7815 0521 47,Automotive,Movies,15600,71-849-1753
3110,2020-05-29 10:28:29,61-915-6963,47-843-1102,BH28 TGQI QHHS CPRA IRZB PZ,Home,Movies,32092,68-379-1521
856,2019-10-10 03:18:26,28-352-8723,91-798-4371,FR83 2308 9857 61NZ 7NBT TCJA X10,Music,Garden,42928,81-104-2608
1147,2018-06-04 17:24:08,06-352-2426,25-008-4882,MT24 HLUV 3170 5WQU JTWH CHRZ BPNN TAL,Music,Garden,33163,23-682-4067
5478,2018-07-23 23:18:27,99-538-6579,26-036-1247,BR80 5334 3128 5750 5058 3065 520N 1,Beauty,Baby,27848,80-756-9638
64163,2019-06-23 19:23:13,79-074-9114,96-873-5028,MK30 969W YLZQ LBER 342,Tools,Automotive,40537,86-766-9160
46463,2020-08-16 21:47:25,26-385-5482,01-405-5609,CY11 4140 3546 G5U8 BXIW 0H17 VNMY,Baby,Electronics,40158,72-888-0447
258,2018-10-23 23:03:09,72-830-5322,81-386-0845,TN03 3374 5412 1455 7023 0437,Beauty,Games,35109,05-901-8788
60,2019-03-08 07:50:55,04-910-5278,74-905-8371,MK20 6419 AMRM GZR7 561,Grocery,Kids,28350,76-863-4487
8,2020-02-20 03:11:23,53-932-3042,07-514-1882,GB87 WIVW 3764 7905 2354 71,Beauty,Sports,36982,76-437-6375
1230,2020-07-12 03:00:10,35-790-0617,93-791-3474,SA38 621O XN4P IXPK LMXQ 8QDL,Industrial,Movies,6257,08-264-6010
14,2018-09-05 13:18:06,15-572-8863,86-067-1048,ES28 0610 5324 3958 6042 2722,Shoes,Music,17048,47-628-3479
340,2020-05-14 16:58:49,30-942-7151,77-954-1622,DO35 I71T 7879 3323 5082 3118 3550,Jewelery,Computers,28469,85-585-1907
